model,variant,seed,hf_model_id,AUC,AUPRC,ACC,SN,SP,F1,MCC,Threshold,metrics_path,predictions_path,config_path,adapter_type
protbert,lm_pssm,33,Rostlab/prot_bert_bfd,0.9156065088757396,0.6192321537412696,0.8811188811188811,0.6153846153846154,0.9076923076923076,0.4848484848484848,0.43355216488307,0.75,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_33/config.json,dora
protbert,lm_pssm,44,Rostlab/prot_bert_bfd,0.9289940828402368,0.6536983935652239,0.8496503496503497,0.7307692307692307,0.8615384615384616,0.4691358024691358,0.4320493798938574,0.3,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_44/config.json,dora
protbert,lm_pssm,55,Rostlab/prot_bert_bfd,0.9252218934911244,0.6317675050727836,0.9055944055944056,0.5384615384615384,0.9423076923076924,0.509090909090909,0.4578723861124513,0.85,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/protbert/lm_pssm/seed_55/config.json,dora
prott5,lm_only,11,Rostlab/prot_t5_xl_uniref50,0.9199704142011834,0.560840494845271,0.916083916083916,0.6153846153846154,0.946153846153846,0.5714285714285714,0.5268321206355335,0.7999999999999999,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_11/config.json,dora
prott5,lm_only,22,Rostlab/prot_t5_xl_uniref50,0.9071005917159763,0.4896746342975822,0.8636363636363636,0.7307692307692307,0.8769230769230769,0.4935064935064935,0.456392046883934,0.3,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_22/config.json,dora
prott5,lm_only,33,Rostlab/prot_t5_xl_uniref50,0.91405325443787,0.6757584882037498,0.8776223776223776,0.6923076923076923,0.8961538461538462,0.5070422535211268,0.4645972690477625,0.25,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_33/config.json,dora
prott5,lm_only,44,Rostlab/prot_t5_xl_uniref50,0.8991863905325443,0.4783675709519391,0.8496503496503497,0.8461538461538461,0.85,0.5057471264367817,0.4885650525412793,0.05,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_44/config.json,dora
prott5,lm_only,55,Rostlab/prot_t5_xl_uniref50,0.9109467455621302,0.6540799715690703,0.9370629370629372,0.5384615384615384,0.9769230769230768,0.6086956521739131,0.5809636795811605,0.3,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_only/seed_55/config.json,dora
prott5,lm_pssm,11,Rostlab/prot_t5_xl_uniref50,0.9170118343195266,0.6346468843698447,0.9090909090909092,0.6538461538461539,0.9346153846153846,0.5666666666666667,0.5226990393278772,0.15,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_11/config.json,dora
prott5,lm_pssm,22,Rostlab/prot_t5_xl_uniref50,0.8990384615384616,0.5356720289510273,0.8846153846153846,0.6923076923076923,0.903846153846154,0.5217391304347826,0.4795063177244678,0.1,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_22/config.json,dora
prott5,lm_pssm,33,Rostlab/prot_t5_xl_uniref50,0.9180473372781064,0.6412287246851334,0.8846153846153846,0.6153846153846154,0.9115384615384616,0.4923076923076923,0.4414075802766329,0.05,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_33/config.json,dora
prott5,lm_pssm,44,Rostlab/prot_t5_xl_uniref50,0.9238905325443788,0.6362694182540148,0.8496503496503497,0.7307692307692307,0.8615384615384616,0.4691358024691358,0.4320493798938574,0.4999999999999999,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_44/config.json,dora
prott5,lm_pssm,55,Rostlab/prot_t5_xl_uniref50,0.9192307692307692,0.6237012593014988,0.8916083916083916,0.6153846153846154,0.9192307692307692,0.5079365079365079,0.4579459944261106,0.9,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/dora/prott5/lm_pssm/seed_55/config.json,dora
ankh,lm_only,11,ElnaggarLab/ankh-large,0.7745562130177515,0.2531412499534964,0.7902097902097902,0.5,0.8192307692307692,0.3023255813953488,0.2253970603363309,0.05,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_11/config.json,lora
ankh,lm_only,22,ElnaggarLab/ankh-large,0.7778846153846154,0.302796122639505,0.8671328671328671,0.2692307692307692,0.926923076923077,0.2692307692307692,0.1961538461538461,0.15,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_22/config.json,lora
ankh,lm_only,33,ElnaggarLab/ankh-large,0.8053254437869822,0.3326681018061231,0.6888111888111889,0.7692307692307693,0.6807692307692308,0.3100775193798449,0.2694894105823887,0.05,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs/lora/ankh/lm_only/seed_33/config.json,lora
