adapter_type,model,variant,seed,AUC,AUPRC,ACC,F1,MCC,Threshold,metrics_path,predictions_path,config_path
dora,prott5,lm_only,44,0.8878698224852071,0.5415976919649552,0.8531468531468531,0.5,0.4757345388787256,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_44/config.json
dora,prott5,lm_only,55,0.906360946745562,0.641524889242767,0.9195804195804196,0.5818181818181818,0.5384579260682427,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_only/seed_55/config.json
dora,prott5,lm_pssm,11,0.9346153846153846,0.6104458077596076,0.916083916083916,0.5384615384615384,0.4923076923076923,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_11/config.json
dora,prott5,lm_pssm,22,0.9347633136094676,0.6203377908605542,0.9230769230769232,0.5769230769230769,0.5346153846153846,0.4999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_22/config.json
dora,prott5,lm_pssm,33,0.9321005917159764,0.6041377988536177,0.9265734265734266,0.5882352941176471,0.5480722048803899,0.4999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_33/config.json
dora,prott5,lm_pssm,44,0.934171597633136,0.6908289951261415,0.9090909090909092,0.5806451612903226,0.54,0.3,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_44/config.json
dora,prott5,lm_pssm,55,0.9297337278106508,0.6321264495315704,0.9195804195804196,0.5818181818181818,0.5384579260682427,0.44999999999999996,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/dora/prott5/lm_pssm/seed_55/config.json
lora,ankh,lm_only,11,0.8571428571428572,0.4166666666666666,0.625,0.4,0.3779644730092272,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_11/config.json
lora,ankh,lm_only,22,0.7843195266272189,0.2491657411961002,0.6783216783216783,0.2923076923076923,0.241344238423291,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_22/config.json
lora,ankh,lm_only,33,0.7893491124260356,0.2931539226247135,0.7237762237762237,0.3130434782608696,0.2603145130350712,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_33/config.json
lora,ankh,lm_only,44,0.7597633136094675,0.2710773963516208,0.5594405594405595,0.25,0.1968178976110437,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_44/config.json
lora,ankh,lm_only,55,0.7226331360946746,0.1987271316958251,0.5979020979020979,0.23841059602649,0.162725238072003,0.15,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_only/seed_55/config.json
lora,ankh,lm_pssm,11,0.932396449704142,0.5842970263077351,0.9090909090909092,0.5,0.45,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_11/config.json
lora,ankh,lm_pssm,22,0.9261834319526628,0.5785599927002076,0.9125874125874126,0.5454545454545454,0.498165156090347,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_22/config.json
lora,ankh,lm_pssm,33,0.9201183431952662,0.5957274604291293,0.9195804195804196,0.5106382978723404,0.47053333277322,0.5499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_33/config.json
lora,ankh,lm_pssm,44,0.9384615384615383,0.6778289367457561,0.9370629370629372,0.6086956521739131,0.5809636795811605,0.65,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_44/config.json
lora,ankh,lm_pssm,55,0.9263313609467456,0.6240449389121463,0.9125874125874126,0.576271186440678,0.5329708913388167,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/ankh/lm_pssm/seed_55/config.json
lora,esm2,lm_only,11,0.9245562130177516,0.6208180578038159,0.9230769230769232,0.6333333333333333,0.5978583783161995,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/esm2/lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/esm2/lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/esm2/lm_only/seed_11/config.json
lora,esm2,lm_only,22,0.9392011834319526,0.7311864185995296,0.944055944055944,0.6923076923076923,0.6615384615384615,0.6,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/esm2/lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/esm2/lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen/lora/esm2/lm_only/seed_22/config.json
