adapter_type,model,seed,adapter_variant,feature_variant,AUC,AUPRC,ACC,F1,MCC,Threshold,metrics_path,predictions_path,config_path
dora,protbert,22,lm_only,lm_pssm,0.9374260355029586,0.6045297453432453,0.916083916083916,0.5384615384615384,0.4923076923076923,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_22/config.json
dora,protbert,33,lm_only,lm_pssm,0.9217455621301774,0.594178011309434,0.8671328671328671,0.5128205128205128,0.481614641307647,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_33/config.json
dora,protbert,44,lm_only,lm_pssm,0.9357988165680472,0.6586216420040136,0.9265734265734266,0.6181818181818182,0.5787506960461385,0.4499999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_44/config.json
dora,protbert,55,lm_only,lm_pssm,0.9258875739644972,0.5774724925558271,0.9195804195804196,0.5490196078431373,0.505009388782645,0.3999999999999999,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_only__feature_lm_pssm/seed_55/config.json
dora,protbert,11,lm_pssm,lm_only,0.8928994082840237,0.5035761395348912,0.8461538461538461,0.4634146341463415,0.4263178326201449,0.25,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_11/config.json
dora,protbert,22,lm_pssm,lm_only,0.8926035502958579,0.4445875922111061,0.8566433566433567,0.4675324675324675,0.4246179170375841,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_22/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_22/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_22/config.json
dora,protbert,33,lm_pssm,lm_only,0.8838757396449705,0.5441981719525237,0.8461538461538461,0.45,0.4068381021724862,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_33/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_33/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_33/config.json
dora,protbert,44,lm_pssm,lm_only,0.8939349112426036,0.4617461817954115,0.8216783216783217,0.4395604395604395,0.408958164570598,0.2,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_44/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_44/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_44/config.json
dora,protbert,55,lm_pssm,lm_only,0.9041420118343196,0.6182678053649912,0.8776223776223776,0.4927536231884058,0.4454768371117636,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_55/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_55/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/protbert/adapter_lm_pssm__feature_lm_only/seed_55/config.json
dora,prott5,11,lm_only,lm_pssm,0.9396449704142013,0.6335275819625356,0.9055944055944056,0.5573770491803278,0.5128291521826744,0.35,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_11/metrics.json,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_11/predictions.csv,/home/nemophila/projects/protein_bert/LLM/runs_frozen_cross_variant/dora/prott5/adapter_lm_only__feature_lm_pssm/seed_11/config.json
