group_id,strategy,adapter_type,adapter_variant,external_variant,model,n_seeds,AUC_mean,AUC_std,AUPRC_mean,AUPRC_std,ACC_mean,ACC_std,F1_mean,F1_std,MCC_mean,MCC_std
G03,S2,lora,lm_only,lm_only,protbert,5,0.8924852071005918,0.015161790994659918,0.5172804671881577,0.045804920722653485,0.8468531468531468,0.02159922407200069,0.454347899945558,0.008609073946425008,0.41440944555747433,0.01315311793123543
G03,S2,lora,lm_only,lm_only,prott5,5,0.9019230769230768,0.012061793096436181,0.5881697109154176,0.06493650898550965,0.8755244755244755,0.031085469609640353,0.522712626391171,0.04640346117072076,0.48820739258684354,0.04395000883130332
G04,S2,lora,lm_only,lm_pssm,ankh,5,0.927958579881657,0.005934884694967972,0.6120374870570828,0.03627800265986628,0.9146853146853147,0.014601827285189635,0.5431271906255836,0.04723964626706947,0.5002791805956657,0.054978057720137107
G04,S2,lora,lm_only,lm_pssm,esm2,5,0.9393491124260356,0.00802042576418145,0.6411475017489789,0.029054392966671,0.9083916083916084,0.00948577620017518,0.5285329277400903,0.040532292649526264,0.4879314815943999,0.03987411291731472
G04,S2,lora,lm_only,lm_pssm,protbert,5,0.9320710059171597,0.007011522226095639,0.6078495510328255,0.028816409488695634,0.8832167832167833,0.044755244755244755,0.5216145181226359,0.053003679629416996,0.48835079896201317,0.04671935517733247
G04,S2,lora,lm_only,lm_pssm,prott5,5,0.9343786982248522,0.004472840518097931,0.638480989147521,0.024167441201709047,0.9097902097902099,0.012780186631116902,0.5573070687644875,0.036593968059333085,0.5137337154459111,0.03886105990392247
G05,S3,dora,lm_only,lm_only,ankh,5,0.7754437869822486,0.02708013878988919,0.2801314310924754,0.031810619810969935,0.6405594405594405,0.1668590670641805,0.2730219810165853,0.04069137070274785,0.21663721241986605,0.04705187310918011
G05,S3,dora,lm_only,lm_only,esm2,5,0.9352662721893491,0.011466396101541097,0.673546554283535,0.06168115635217406,0.93006993006993,0.02177959650684954,0.6574660450992253,0.06699079129883817,0.6266921588889304,0.06996436559215191
G05,S3,dora,lm_only,lm_only,protbert,5,0.8903846153846153,0.010310130894496798,0.506589032698509,0.039891324353444016,0.8342657342657344,0.02668361402564882,0.43579168657429523,0.01918617262882844,0.39544180617271196,0.020863244365906884
G05,S3,dora,lm_only,lm_only,prott5,5,0.9030769230769231,0.009133534301070003,0.5745519249121978,0.061034590005864364,0.893006993006993,0.02428497252333616,0.5336939340278576,0.039392739586657066,0.4915486436470595,0.039332722374849194
